# Tests with legacy Chillu encoding, using Zero Width Joiner(ZWJ)
MLYM	ആന്‍ഡ്	ആൻഡ്
MLYM	ഹൈഫന്‍	ഹൈഫൻ

# Tests with Zero Width Non-Joiner(ZWNJ)
MLYM	കെജ്‌രിവാൾ	കെജ്‌രിവാൾ
MLYM	സദ്‌വാരം	സദ്‌വാരം
MLYM	‌സ്പു‌ട്നിക്‌	സ്പുട്നിക്
MLYM	അറബ്‌ബസാർ	അറബ്‌ബസാർ

# Tests with Zero Width Space(ZWS) and ZWNJ
MLYM	​ആൻഡ്‌	ആൻഡ്

SINH	ශ්‍රී​ලං‌කා‍	ශ්‍රීලංකා

TAML	தமி​ழர்‌கள்‍	தமிழர்கள்

DEVA	श्रीमान्‌को	श्रीमान्‌को
DEVA	गोल्‍डबर्ग	गोल्डबर्ग

# <VIRAMA, NUKTA> → <NUKTA, VIRAMA>
DEVA	क़्लब	क़्लब

# <LETTER E, VOWEL SIGN E> → <LETTER AI>
DEVA	एेरावत	ऐरावत

# <LETTER AA, VOWEL SIGN E> → <LETTER O>
DEVA	संस्थाआें	संस्थाओं
# <LETTER A, VOWEL SIGN AA, VOWEL SIGN E> → <LETTER O>
DEVA	संस्थाअाें	संस्थाओं

# <VOWEL SIGN AA, VOWEL SIGN E> → <VOWEL SIGN O>
DEVA	बाेलने	बोलने

# Eyelash reph
DEVA	दर्‍या	दऱ्या

## Examples from mr_in translit data ##

# <VOWEL A, ZWJ?, VOWEL SIGN CANDRA E> → <VOWEL CANDRA A>
DEVA	व्हॉट्सअॅपवर	व्हॉट्सॲपवर
DEVA	व्हॉट्सअ‍ॅपवर	व्हॉट्सॲपवर

# <LETTER A, VOWEL SIGN CANDRA E, SIGN ANUSVARA> → <LETTER A, SIGN CANDRABINDU>
DEVA	अॅंडी	अँडी

## <VOWEL SIGN CANDRA O, SIGN ANUSVARA> → <VOWEL SIGN AA, SIGN CANDRABINDU>
DEVA	बॉंब	बाँब

## <VOWEL SIGN CANDRA O, SIGN CANDRABINDU> → <VOWEL SIGN AA, SIGN CANDRABINDU>
DEVA	कॉँग्रेसचे	काँग्रेसचे

## Examples from hi_in translit data ##

# <VOWEL A, VOWEL SIGN AA> → <VOWEL AA>
# <VOWEL SIGN AA, VOWEL SIGN E> → <VOWEL SIGN O>
DEVA	अायाेजन	आयोजन

