# Verifying if NFC and Visual Norm are applied along with Reading Norm
MLYM	കൌന്‍	കൗൻ

HI	शशाङ्क	शशांक
HI	शङ्ख	शंख
HI	काङ्ग्रेस	कांग्रेस
HI	सङ्घर्ष	संघर्ष

HI	पाञ्चजन्य	पांचजन्य
HI	वाञ्छित	वांछित
HI	सञ्जय	संजय
HI	सञ्झ्याल	संझ्याल

HI	घण्टा	घंटा
HI	कुण्ठित	कुंठित
HI	सेकेण्ड	सेकेंड
HI	पण्ढरपुर	पंढरपुर

HI	प्रान्त	प्रांत
HI	ग्रन्थ	ग्रंथ
HI	हिन्दी	हिंदी
HI	धुन्ध	धुंध

HI	लैम्प	लैंप
HI	लिम्फोमा	लिंफोमा
HI	नवम्बर	नवंबर
HI	सम्भावित	संभावित

HI	सम्युक्त	संयुक्त
HI	अम्लीय	अंलीय
HI	सम्वाद	संवाद
HI	अन्श	अंश
HI	विमेन्स	विमेंस

MLYM	കൌ	കൗ
MLYM	അതു്	അത്
MLYM	ഭാൎയ്യ	ഭാര്യ
MLYM	കൎമ്മം	കർമ്മം

LEPC	ᰓᰧᰀ᰷ᰥᰕᰨᰧ	ᰓᰧᱍᰕᰨᰧ
LEPC	ᰑᰤᰬᰃ᰷ᰥᰡᰨ	ᰑᰤᰬᱏᰡᰨ
LEPC	ᰃ᰷ᰥ	ᱏ
LEPC	ᰛᰧᰵᰶᰝ᰷ᰥᰤᰪᰮ	ᰛᰧᰵᰶᱎᰤᰪᰮ
